"SCI_NAME","KEY"
"Psephotus haematonotus",11587.775605
"Melopsittacus undulatus",11587.77581
"Melopsittacus undulatus (Domestic type)",11587.775813
"Glossopsitta concinna",11587.77617
"Glossopsitta pusilla",11587.776175
"Glossopsitta porphyrocephala",11587.77618
"Trichoglossus haematodus",11587.776295
"Trichoglossus chlorolepidotus",11587.776445
"Pitta versicolor",11747
"Ailuroedus crassirostris",15508.5
"Sericulus chrysocephalus",15527
"Ptilonorhynchus violaceus",15528
"Cormobates leucophaea",15547
"Climacteris erythrops",15556
"Climacteris picumnus",15557
"Malurus lamberti",15608
"Malurus cyaneus",15622
"Malurus melanocephalus",15634
"Acanthorhynchus tenuirostris",15644
"Meliphaga lewinii",15659
"Purnella albifrons",15689
"Caligavis chrysops",15691
"Lichenostomus melanops",15695.2
"Manorina melanophrys",15703
"Manorina melanocephala",15705
"Acanthagenys rufogularis",15739
"Anthochaera chrysoptera",15740
"Anthochaera phrygia",15743
"Anthochaera carunculata",15745
"Gavicalis fasciogularis",15751
"Ptilotula fusca",15765
"Myzomela obscura",15821
"Myzomela sanguinolenta",15843
"Lichmera indistincta",15895
"Phylidonyris novaehollandiae",15915
"Phylidonyris niger",15917
"Nesoptilotis leucotis",15921
"Entomyzon cyanotis",15925
"Melithreptus albogularis",15925.5
"Melithreptus lunatus",15927
"Melithreptus gularis",15929.3
"Plectorhyncha lanceolata",15957
"Philemon citreogularis",15963
"Philemon corniculatus",15999
"Pardalotus punctatus",16017
"Pardalotus striatus",16023
"Sericornis citreogularis",16189
"Sericornis frontalis",16193
"Sericornis magnirostra",16230
"Pyrrholaemus sagittatus",16253
"Acanthiza reguloides",16278
"Acanthiza pusilla",16289
"Acanthiza chrysorrhoa",16303
"Acanthiza nana",16310
"Acanthiza lineata",16314
"Smicrornis brevirostris",16319
"Gerygone olivacea",16338
"Gerygone mouki",16364
"Gerygone levigaster",16387
"Pomatostomus temporalis",16409
"Orthonyx temminckii",16424
"Psophodes olivaceus",16499
"Cinclosoma punctatum",16509
"Artamus leucorynchus",16887
"Artamus personatus",16898
"Artamus superciliosus",16898.5
"Artamus cinereus",16899
"Artamus cyanopterus",16905
"Artamus minor",16908
"Cracticus torquatus",16917
"Cracticus nigrogularis",16928
"Gymnorhina tibicen",16933.9
"Strepera graculina",16947
"Coracina lineata",17080
"Coracina novaehollandiae",17093
"Coracina papuensis",17101
"Lalage tricolor",17209
"Lalage leucomela",17214
"Edolisoma tenuirostre",17295
"Daphoenositta chrysoptera",17336
"Falcunculus frontatus",17351
"Colluricincla megarhyncha",17368
"Colluricincla harmonica",17403
"Pachycephala pectoralis",17503
"Pachycephala rufiventris",17574
"Oriolus sagittatus",17987
"Sphecotheres vieilloti",18078
"Dicrurus bracteatus",18165
"Rhipidura leucophrys",18261
"Rhipidura rufifrons",18306
"Rhipidura albiscapa",18361
"Carterornis leucotis",18539
"Monarcha melanopsis",18553
"Symposiachrus trivirgatus",18571
"Grallina cyanoleuca",18638
"Myiagra rubecula",18652
"Myiagra cyanoleuca",18686
"Myiagra rubecula/cyanoleuca",18686.5
"Myiagra inquieta",18687
"Myiagra alecto",18689
"Corvus orru",19113.5
"Corvus coronoides",19120
"Struthidea cinerea",19147
"Ptiloris paradiseus",19210.1
"Microeca fascinans",19270
"Petroica boodang",19304
"Petroica goodenovii",19324
"Petroica rosea",19326
"Tregellasia capito",19354
"Eopsaltria australis",19357
"Mirafra javanica",19718
"Hirundo neoxena",20059
"Petrochelidon ariel",20117
"Petrochelidon nigricans",20118
"Petrochelidon ariel/nigricans",20118.2
"Cheramoeca leucosterna",20175
"Acrocephalus australis",22269
"Megalurus gramineus",22313.09
"Megalurus cruralis",22313.14
"Megalurus timoriensis",22313.15
"Megalurus mathewsi",22313.36
"Cisticola exilis",22890
"Zosterops lateralis",23377.00591
"Zoothera heinei",24466
"Sturnus vulgaris",26621
"Acridotheres tristis",26648
"Dicaeum hirundinaceum",26942
"Motacilla tschutschensis",27495
"Anthus novaeseelandiae",27537
"Chloris chloris",30954
"Carduelis carduelis",31075
"Passer domesticus",31345
"Neochmia temporalis",31965
"Neochmia modesta",31975
"Taeniopygia guttata",31975.5
"Taeniopygia bichenovii",31978
"Lonchura punctulata",32057
"Lonchura castaneothorax",32129
